Find this token in 2-tasks.csv,Epic summary it refers to,Replace with the key Jira gave it
EPIC>Platform Foundation,Platform Foundation & Multi-University Architecture,
EPIC>Authentication,Authentication Roles & Account Management,
EPIC>Study Groups,Study Groups,
EPIC>Ride Sharing,Ride Sharing,
EPIC>Smart Attendance,Smart Attendance,
EPIC>Ticketing,Complaints & Ticketing,
EPIC>Clubs,Clubs & Organizations,
EPIC>Internships,Internships & Career Matching,
EPIC>Notifications,Notifications & Real-Time Infrastructure,
EPIC>Administration,Administration Reporting & Audit,
EPIC>Design System,UI/UX & Design System,
EPIC>Testing,Automated Testing,
EPIC>Mobile App,Mobile Application,
EPIC>Hardening,Security Hardening & Defect Fixes,
